,Lat,Long,Time
5757,44.8302035,3.7357821,1546441476.999
5758,44.8319976,3.7350688,1546441492.999
5759,44.833821,3.7366304,1546441507.999
5760,44.8347886,3.7373065,1546441517.999
5761,44.8348741,3.7373258,1546441518.999
5762,44.8349596,3.7373369,1546441519.999
5763,44.8350476,3.7373348,1546441520.999
5764,44.8351278,3.7373256,1546441521.999
5765,44.8352038,3.7373201,1546441522.999
5766,44.8352876,3.7373224,1546441523.999
5767,44.8353739,3.7373272,1546441524.999
5768,44.8354572,3.7373419,1546441525.999
5769,44.8355579,3.7373522,1546441526.999
5770,44.8373041,3.7376294,1546441541.999
5771,44.8391991,3.7388934,1546441557.999
5772,44.8402319,3.738731,1546441572.999
5773,44.8407561,3.7381918,1546441578.999
5774,44.8408412,3.7381125,1546441579.999
5775,44.8409126,3.7380468,1546441580.999
5776,44.8409695,3.7380184,1546441581.999
5777,44.8410194,3.7380188,1546441582.999
5778,44.8410712,3.7380621,1546441583.999
5779,44.8411284,3.7381369,1546441584.999
5780,44.8411899,3.7382466,1546441585.999
5781,44.8412464,3.738371,1546441586.999
5782,44.8421772,3.7404983,1546441601.999
5783,44.8420651,3.740685,1546441617.999
5784,44.8407734,3.7399237,1546441633.999
5785,44.8409489,3.7406998,1546441639.999
5786,44.8409596,3.7408321,1546441640.999
5787,44.8409553,3.7409637,1546441641.999
5788,44.8409368,3.741097,1546441642.999
5789,44.8409222,3.7412335,1546441643.999
5790,44.8409063,3.7413732,1546441644.999
5791,44.84025,3.7435319,1546441659.999
5792,44.8397699,3.7458267,1546441675.999
5793,44.8384563,3.7474771,1546441691.999
5794,44.8372254,3.7475176,1546441700.999
5795,44.8371165,3.7475362,1546441701.999
5796,44.8370083,3.7475627,1546441702.999
5797,44.8369047,3.747615,1546441703.999
5798,44.8368052,3.7476996,1546441704.999
5799,44.8358876,3.750214,1546441720.999
5800,44.836413,3.750578,1546441728.999
5801,44.8380004,3.751946,1546441743.999
5802,44.8397736,3.7529946,1546441759.999
5803,44.8400304,3.7530628,1546441761.999
5804,44.8417842,3.7537155,1546441776.999
5805,44.8437433,3.75469,1546441792.999
5806,44.8456751,3.7551204,1546441808.999
5807,44.8473452,3.7547397,1546441821.999
5808,44.8474708,3.7547699,1546441822.999
5809,44.8476128,3.7571694,1546441838.999
5810,44.8483245,3.7592129,1546441854.999
5811,44.8494813,3.7603014,1546441869.999
5812,44.8494934,3.7585461,1546441882.999
5813,44.8494873,3.7583905,1546441883.999
5814,44.849479,3.7582256,1546441884.999
5815,44.8494719,3.7580518,1546441885.999
5816,44.8494674,3.7578695,1546441886.999
5817,44.8494749,3.7576939,1546441887.999
5818,44.8495069,3.7575255,1546441888.999
5819,44.8495578,3.75737,1546441889.999
5820,44.8517268,3.7555711,1546441905.999
5821,44.8542942,3.756292,1546441921.999
5822,44.8577265,3.7576137,1546441942.999
5823,44.8578808,3.7576979,1546441943.999
5824,44.8580359,3.7577794,1546441944.999
5825,44.8610901,3.7577739,1546441962.999
5826,44.8634239,3.7579141,1546441977.999
5827,44.8659506,3.7591396,1546441993.999
5828,44.8677884,3.7599702,1546442003.999
5829,44.8707575,3.7612768,1546442019.999
5830,44.8734162,3.7623777,1546442034.999
5831,44.8750255,3.7650989,1546442050.999
5832,44.8765861,3.7675915,1546442064.999
5833,44.8767105,3.7677694,1546442065.999
5834,44.8768395,3.7679433,1546442066.999
5835,44.8769697,3.7681098,1546442067.999
5836,44.8771074,3.7682642,1546442068.999
5837,44.8772569,3.7684127,1546442069.999
5838,44.8774071,3.7685597,1546442070.999
5839,44.877591,3.7686836,1546442071.999
5840,44.8777786,3.7687725,1546442072.999
5841,44.8779298,3.7689153,1546442073.999
5842,44.8780838,3.7690576,1546442074.999
5843,44.8782406,3.7692035,1546442075.999
5844,44.8784004,3.7693589,1546442076.999
5845,44.8785499,3.7695241,1546442077.999
5846,44.8786873,3.769693,1546442078.999
5847,44.8788199,3.7698647,1546442079.999
5848,44.8791618,3.7736008,1546442095.999
5849,44.8802373,3.7769588,1546442110.999
5850,44.8806616,3.7774012,1546442113.999
5851,44.8823509,3.7792774,1546442124.999
5852,44.8825166,3.7794656,1546442125.999
5853,44.8826839,3.779654,1546442126.999
5854,44.8828523,3.7798451,1546442127.999
5855,44.8830204,3.7800376,1546442128.999
5856,44.8831896,3.7802299,1546442129.999
5857,44.8833593,3.7804206,1546442130.999
5858,44.8835297,3.7806134,1546442131.999
5859,44.8836991,3.7808053,1546442132.999
5860,44.8838642,3.7809967,1546442133.999
5861,44.8840254,3.7811902,1546442134.999
5862,44.8841723,3.7813889,1546442135.999
5863,44.8843105,3.7816028,1546442136.999
5864,44.8844439,3.7818259,1546442137.999
5865,44.8845685,3.7820541,1546442138.999
5866,44.884693,3.7822962,1546442139.999
5867,44.8848117,3.7825342,1546442140.999
5868,44.8849279,3.782768,1546442141.999
5869,44.885038,3.783002,1546442142.999
5870,44.8851439,3.7832305,1546442143.999
5871,44.8852459,3.7834733,1546442144.999
5872,44.8853361,3.7837174,1546442145.999
5873,44.8854167,3.7839623,1546442146.999
5874,44.8854972,3.7842068,1546442147.999
5875,44.8866813,3.7875373,1546442163.999
5876,44.8876666,3.7901211,1546442179.999
5877,44.8882334,3.7908605,1546442185.999
5878,44.8883516,3.790946,1546442186.999
5879,44.8897987,3.7919127,1546442202.999
5880,44.8905797,3.7951136,1546442218.999
5881,44.8920539,3.798958,1546442234.999
5882,44.8935088,3.8016097,1546442246.999
5883,44.8936084,3.8018494,1546442247.999
5884,44.8937113,3.802092,1546442248.999
5885,44.8938151,3.8023259,1546442249.999
5886,44.8939295,3.8025647,1546442250.999
5887,44.8940534,3.8027919,1546442251.999
5888,44.894191,3.8030193,1546442252.999
5889,44.8966239,3.8059653,1546442268.999
5890,44.8996473,3.8072337,1546442284.999
5891,44.9024035,3.8083327,1546442299.999
5892,44.9037511,3.8078561,1546442306.999
5893,44.9039475,3.8077726,1546442307.999
5894,44.9041434,3.8076923,1546442308.999
5895,44.9043385,3.8076168,1546442309.999
5896,44.9071605,3.8069603,1546442324.999
5897,44.9102693,3.8062094,1546442339.999
5898,44.9128988,3.8058254,1546442354.999
5899,44.9146982,3.805723,1546442367.999
5900,44.9148737,3.8058141,1546442368.999
5901,44.9150573,3.8059075,1546442369.999
5902,44.9152368,3.806005,1546442370.999
5903,44.9179685,3.8072327,1546442385.999
5904,44.9202054,3.8078421,1546442401.999
5905,44.9213846,3.8086373,1546442417.999
5906,44.9221686,3.8088529,1546442427.999
5907,44.9235975,3.8089513,1546442442.999
5908,44.9271645,3.8088239,1546442473.999
5909,44.9290533,3.8086891,1546442487.999
5910,44.929182,3.8086731,1546442488.999
5911,44.9293137,3.8086965,1546442489.999
5912,44.9294458,3.808764,1546442490.999
5913,44.9295765,3.8088398,1546442491.999
5914,44.9297047,3.8089179,1546442492.999
5915,44.9298417,3.8089845,1546442493.999
5916,44.9299833,3.8090381,1546442494.999
5917,44.9301331,3.8090783,1546442495.999
5918,44.9302897,3.8091084,1546442496.999
5919,44.9304498,3.8091617,1546442497.999
5920,44.9306104,3.8092196,1546442498.999
5921,44.9307632,3.809315,1546442499.999
5922,44.9309078,3.8094218,1546442500.999
5923,44.9310512,3.8095247,1546442501.999
5924,44.9311952,3.8096324,1546442502.999
5925,44.9313387,3.8097393,1546442503.999
5926,44.9314774,3.8098508,1546442504.999
5927,44.931612,3.8099739,1546442505.999
5928,44.9317406,3.8101205,1546442506.999
5929,44.931859,3.8102965,1546442507.999
5930,44.9319723,3.8104903,1546442508.999
5931,44.9320866,3.8106848,1546442509.999
5932,44.9322035,3.8108864,1546442510.999
5933,44.9323279,3.8110934,1546442511.999
5934,44.9324552,3.8112931,1546442512.999
5935,44.9325858,3.8115049,1546442513.999
5936,44.9327125,3.8117127,1546442514.999
5937,44.9328404,3.8119171,1546442515.999
5938,44.9329675,3.8121175,1546442516.999
5939,44.9331004,3.8123133,1546442517.999
5940,44.9332465,3.8125119,1546442518.999
5941,44.9333971,3.8126851,1546442519.999
5942,44.9335605,3.8128489,1546442520.999
5943,44.9337431,3.8130017,1546442521.999
5944,44.9339392,3.8131492,1546442522.999
5945,44.9341461,3.813274,1546442523.999
5946,44.9343552,3.8133927,1546442524.999
5947,44.9345617,3.8135076,1546442525.999
5948,44.9347636,3.8136246,1546442526.999
5949,44.9349605,3.813747,1546442527.999
5950,44.93516,3.8138725,1546442528.999
5951,44.9353563,3.8139968,1546442529.999
