,Lat,Long,Time 
64232,46.7145385,5.5364153,1544272856.0
64233,46.7161253,5.5350311,1544272871.0
64234,46.7162385,5.5349585,1544272872.0
64235,46.71821,5.5288929,1544272916.0
64236,46.7182443,5.5287276,1544272917.0
64237,46.7182841,5.528542,1544272918.0
64238,46.7183185,5.5283696,1544272919.0
64239,46.7183519,5.5281981,1544272920.0
64240,46.7183822,5.5280332,1544272921.0
64241,46.718414,5.5278648,1544272922.0
64242,46.7184486,5.527697,1544272923.0
64243,46.7184881,5.5275192,1544272924.0
64244,46.718529,5.5273461,1544272925.0
64245,46.7185787,5.5271362,1544272926.0
64246,46.7186362,5.5269227,1544272927.0
64247,46.7196044,5.5240502,1544272943.0
64248,46.7180296,5.5207497,1544272958.0
64249,46.7176683,5.5181108,1544272973.0
64250,46.7182977,5.5175018,1544272977.0
64251,46.7211659,5.5152355,1544272993.0
64252,46.7214527,5.5150988,1544272994.416
64253,46.7215647,5.5150343,1544272995.0
64254,46.7239909,5.5124267,1544273010.0
64255,46.7260432,5.5088787,1544273026.0
64256,46.728394,5.506075,1544273042.0
64257,46.7299448,5.5056455,1544273056.0
64258,46.7305317,5.507391,1544273068.0
64259,46.7305392,5.5075439,1544273069.0
64260,46.7307897,5.5097635,1544273084.0
64261,46.7313545,5.5126846,1544273100.0
64262,46.7313781,5.5128425,1544273115.0
64263,46.7313925,5.5129409,1544273119.0
64264,46.7316708,5.5139497,1544273128.0
64265,46.7317268,5.5141044,1544273129.0
64266,46.7323413,5.5168915,1544273145.0
64267,46.7330107,5.5194578,1544273160.0
64268,46.7332874,5.5218594,1544273176.0
64269,46.7334228,5.5222359,1544273179.0
64270,46.7342341,5.5235424,1544273189.0
64271,46.734304,5.5236873,1544273190.0
64272,46.734368,5.5238327,1544273191.0
64273,46.7344239,5.523978,1544273192.0
64274,46.7344713,5.5241302,1544273193.0
64275,46.733686,5.5272312,1544273224.0
64276,46.7350772,5.5286319,1544273240.0
64277,46.7353606,5.5287293,1544273243.0
64278,46.7360921,5.5284165,1544273250.0
64279,46.7361977,5.5285034,1544273251.0
64280,46.7363016,5.5286109,1544273252.0
64281,46.7364059,5.5287222,1544273253.0
64282,46.7365112,5.5288415,1544273254.0
64283,46.7366168,5.5289593,1544273255.0
64284,46.7367187,5.5290765,1544273256.0
64285,46.7368156,5.5291858,1544273257.0
64286,46.7369035,5.529282,1544273258.0
64287,46.7377122,5.5300306,1544273274.0
64288,46.7396035,5.5305675,1544273290.0
64289,46.7420093,5.5318542,1544273306.0
64290,46.7422966,5.5319948,1544273308.0
64291,46.7425801,5.5321303,1544273310.0
64292,46.7427172,5.532187,1544273311.0
64293,46.743792,5.5337015,1544273326.0
64294,46.7434525,5.535757,1544273342.0
64295,46.7434871,5.5382436,1544273358.0
64296,46.7434171,5.5387986,1544273361.0
64297,46.7424938,5.540521,1544273371.0
64298,46.7422128,5.5429324,1544273386.0
64299,46.7438831,5.5464271,1544273402.0
64300,46.7447365,5.5480213,1544273418.0
64301,46.7447432,5.5483732,1544273421.0
64302,46.7445568,5.5498954,1544273432.0
64303,46.7445537,5.5500765,1544273433.0
64304,46.7439781,5.5527658,1544273448.0
64305,46.743422,5.5547253,1544273464.0
64306,46.7433473,5.5557673,1544273480.0
64307,46.7437201,5.5558191,1544273483.0
64308,46.7454367,5.5560344,1544273492.0
64309,46.7456639,5.5560704,1544273493.0
64310,46.7493158,5.5573621,1544273508.0
64311,46.7532999,5.5582333,1544273523.0
64312,46.7576378,5.5567505,1544273539.0
64313,46.7584612,5.5566418,1544273542.0
64314,46.7612351,5.5564282,1544273552.0
64315,46.7615079,5.5563797,1544273553.0
64316,46.7656039,5.5553588,1544273568.0
64317,46.7695716,5.5562887,1544273584.0
64318,46.7728747,5.5585979,1544273600.0
64319,46.7734998,5.5589532,1544273603.0
64320,46.7755005,5.5591126,1544273612.0
64321,46.7787312,5.5603134,1544273627.0
64322,46.7818182,5.5611756,1544273642.0
64323,46.7846606,5.5615848,1544273658.0
64324,46.7850688,5.5620722,1544273661.0
64325,46.7863075,5.5646567,1544273673.0
64326,46.7864481,5.5648245,1544273674.0
64327,46.7891711,5.5664513,1544273689.0
64328,46.7926158,5.5679309,1544273705.0
64329,46.7956286,5.5703753,1544273721.0
64330,46.7962108,5.5706044,1544273724.0
64331,46.7981927,5.5711632,1544273734.0
64332,46.798386,5.5712473,1544273735.0
64333,46.8007041,5.5739527,1544273750.0
64334,46.8029359,5.5767859,1544273765.0
64335,46.8057407,5.5787861,1544273781.0
64336,46.8063193,5.5795394,1544273785.0
64337,46.8074168,5.5815097,1544273794.0
64338,46.8075584,5.5817346,1544273795.0
64339,46.8098168,5.584388,1544273810.0
64340,46.8112953,5.585855,1544273826.0
64341,46.813594,5.5883254,1544273842.0
64342,46.8140695,5.5889284,1544273845.0
64343,46.8156122,5.5908938,1544273855.0
64344,46.8183749,5.5932724,1544273871.0
64345,46.8213701,5.5942833,1544273886.0
64346,46.8245615,5.5953695,1544273902.0
64347,46.8251004,5.5957853,1544273905.0
64348,46.8269572,5.5976594,1544273916.0
64349,46.8271173,5.597818,1544273917.0
64350,46.8296317,5.6008508,1544273933.0
64351,46.8312518,5.6049544,1544273949.0
64352,46.8327094,5.6088605,1544273964.0
64353,46.8331137,5.6095399,1544273967.0
64354,46.8344813,5.6117562,1544273977.0
64355,46.8346185,5.6119795,1544273978.0
64356,46.8366377,5.6153537,1544273993.0
64357,46.8388031,5.6189497,1544274009.0
64358,46.8410089,5.6211997,1544274025.0
64359,46.8413422,5.6215881,1544274030.0
64360,46.8420686,5.6221096,1544274037.0
64361,46.8421915,5.622246,1544274038.0
64362,46.8440023,5.6252542,1544274053.0
64363,46.8449923,5.6293414,1544274068.0
64364,46.845455,5.633643,1544274083.0
64365,46.8454073,5.6351028,1544274088.0
64366,46.8452923,5.6379895,1544274098.0
64367,46.845279,5.6382975,1544274099.0
64368,46.845145,5.6429458,1544274115.0
64369,46.84495,5.6475991,1544274131.0
64370,46.844145,5.6517925,1544274146.0
64371,46.8439086,5.6525952,1544274149.0
64372,46.8432591,5.6550737,1544274158.0
64373,46.8431986,5.6553622,1544274159.0
64374,46.8423309,5.6604395,1544274174.0
64375,46.8413962,5.6661264,1544274189.0
64376,46.8402765,5.6723551,1544274205.0
64377,46.8397952,5.6738149,1544274209.0
