"App name","Date","Time","Duration"
"Notification posted (Google Actualités)","11/30/19","11:19:10","0:00:00"
"Screen off (locked)","11/30/19","11:17:05","0:05:31"
"Screen on (locked)","11/30/19","11:17:04","0:00:01"
"Screen off","11/30/19","11:16:06","0:00:58"
"SMS/MMS","11/30/19","11:16:04","0:00:02"
"Notification posted (Système Android)","11/30/19","11:16:00","0:00:00"
"Screen on (unlocked)","11/30/19","11:16:00","0:00:00"
"Screen on (locked)","11/30/19","11:15:58","0:00:02"
"Screen off","11/30/19","11:09:26","0:06:32"
"YouTube","11/30/19","10:56:12","0:13:13"
"SMS/MMS","11/30/19","10:56:11","0:00:01"
"SMS/MMS","11/30/19","10:55:47","0:00:23"
"Screen on (unlocked)","11/30/19","10:55:46","0:00:01"
"Screen off","11/30/19","10:55:39","0:00:07"
"SMS/MMS","11/30/19","10:55:32","0:00:07"
"Screen on (unlocked)","11/30/19","10:55:32","0:00:01"
"Notification posted (Système Android)","11/30/19","10:55:32","0:00:00"
"Screen off","11/30/19","10:55:32","0:00:00"
"Notification posted (Système Android)","11/30/19","10:50:19","0:00:00"
"Screen off (locked)","11/30/19","10:48:35","0:06:57"
"Screen on (locked)","11/30/19","10:48:33","0:00:02"
"Notification posted (Messenger)","11/30/19","10:48:30","0:00:00"
"Screen off","11/30/19","10:42:36","0:05:57"
"SMS/MMS","11/30/19","10:40:28","0:02:08"
"I Can't Wake Up! Alarm Clock","11/30/19","10:40:25","0:00:04"
"YouTube","11/30/19","10:40:21","0:00:03"
"Screen on (unlocked)","11/30/19","10:40:21","0:00:00"
"Notification posted (Système Android)","11/30/19","10:40:21","0:00:00"
"Screen on (locked)","11/30/19","10:40:18","0:00:03"
"Notification posted (SMS/MMS)","11/30/19","10:35:59","0:00:00"
"Screen off","11/30/19","10:21:07","0:19:11"
"YouTube","11/30/19","10:20:55","0:00:12"
"SMS/MMS","11/30/19","10:20:50","0:00:03"
"Chrome","11/30/19","10:18:33","0:02:17"
"Gmail","11/30/19","10:18:33","0:00:01"
"Notification posted (SMS/MMS)","11/30/19","10:18:13","0:00:00"
"Chrome","11/30/19","10:17:56","0:00:36"
"Gmail","11/30/19","10:17:54","0:00:02"
"YouTube","11/30/19","10:17:53","0:00:01"
"Gmail","11/30/19","10:17:48","0:00:05"
"Notification posted (Chrome)","11/30/19","10:17:19","0:00:00"
"Chrome","11/30/19","10:17:16","0:00:30"
"YouTube","11/30/19","10:17:16","0:00:01"
"Chrome","11/30/19","10:17:14","0:00:01"
"Notification posted (Messenger)","11/30/19","10:14:38","0:00:00"
"YouTube","11/30/19","10:13:06","0:04:07"
"SMS/MMS","11/30/19","10:12:52","0:00:13"
"YouTube","11/30/19","10:05:30","0:07:19"
"Messenger","11/30/19","10:05:20","0:00:02"
"Quora","11/30/19","10:05:16","0:00:04"
"SMS/MMS","11/30/19","10:05:14","0:00:01"
"Quora","11/30/19","10:05:12","0:00:01"
"SMS/MMS","11/30/19","10:04:51","0:00:21"
"Quora","11/30/19","10:03:18","0:01:30"
"Google Actualités","11/30/19","10:03:10","0:00:09"
"SMS/MMS","11/30/19","10:02:54","0:00:16"
"YouTube","11/30/19","10:02:46","0:00:07"
"Notification posted (Système Android)","11/30/19","10:02:46","0:00:00"
"Screen on (unlocked)","11/30/19","10:02:46","0:00:01"
"Screen on (locked)","11/30/19","10:02:43","0:00:02"
"Notification posted (SMS/MMS)","11/30/19","09:08:53","0:00:00"
"Notification posted (Système Android)","11/30/19","09:06:38","0:00:00"
"Notification posted (App Usage)","11/30/19","09:06:27","0:00:00"
"Notification posted (Système Android)","11/30/19","08:36:27","0:00:00"
"Notification posted (Facebook)","11/30/19","08:25:42","0:00:00"
"Notification posted (Bankin')","11/30/19","08:25:42","0:00:00"
"Screen off","11/30/19","08:03:24","1:59:19"
"Notification posted (Google Actualités)","11/30/19","07:55:42","0:00:00"
"YouTube","11/30/19","07:54:50","0:08:34"
"I Can't Wake Up! Alarm Clock","11/30/19","07:54:30","0:00:20"
"Screen on (unlocked)","11/30/19","07:54:29","0:00:01"
"Screen off","11/30/19","07:54:00","0:00:28"
"I Can't Wake Up! Alarm Clock","11/30/19","07:53:49","0:00:12"
"YouTube","11/30/19","07:53:04","0:00:45"
"I Can't Wake Up! Alarm Clock","11/30/19","07:53:02","0:00:01"
"Screen on (unlocked)","11/30/19","07:53:02","0:00:01"
"Screen off","11/30/19","07:52:54","0:00:07"
"I Can't Wake Up! Alarm Clock","11/30/19","07:52:33","0:00:22"
"Screen on (unlocked)","11/30/19","07:52:32","0:00:01"
"Screen off","11/30/19","07:52:19","0:00:13"
"I Can't Wake Up! Alarm Clock","11/30/19","07:52:12","0:00:07"
"Screen on (unlocked)","11/30/19","07:52:11","0:00:01"
"Screen off","11/30/19","07:52:05","0:00:06"
"I Can't Wake Up! Alarm Clock","11/30/19","07:51:38","0:00:27"
"Notification posted (Système Android)","11/30/19","07:51:38","0:00:00"
"Screen on (unlocked)","11/30/19","07:51:38","0:00:00"
"Screen on (locked)","11/30/19","07:51:34","0:00:04"
"Notification posted (Système Android)","11/30/19","07:50:00","0:00:00"
"Notification posted (Système Android)","11/30/19","07:04:47","0:00:00"
"Notification posted (Messenger)","11/30/19","05:26:31","0:00:00"
"Notification posted (Messenger)","11/30/19","05:26:30","0:00:00"
"Notification posted (App Usage)","11/30/19","05:01:34","0:00:00"
"Notification posted (Gest. de tél.)","11/30/19","04:27:34","0:00:00"
"Notification posted (Gest. de tél.)","11/30/19","04:25:02","0:00:00"
"Screen off","11/30/19","03:13:11","4:38:23"
"I Can't Wake Up! Alarm Clock","11/30/19","02:52:36","0:20:35"
"I Can't Wake Up! Alarm Clock","11/30/19","02:52:21","0:00:04"
"YouTube","11/30/19","02:52:16","0:00:04"
"YouTube","11/30/19","02:51:16","0:00:58"
"Gmail","11/30/19","02:51:10","0:00:03"
"Chrome","11/30/19","02:50:03","0:01:04"
"YouTube","11/30/19","02:49:56","0:00:07"
"Chrome","11/30/19","02:49:54","0:00:02"
"YouTube","11/30/19","02:47:46","0:02:07"
"Dealabs","11/30/19","02:44:24","0:03:18"
"Notification posted (Chrome)","11/30/19","02:41:15","0:00:00"
"Chrome","11/30/19","02:41:13","0:03:09"
"YouTube","11/30/19","02:41:12","0:00:01"
"Boost","11/30/19","02:39:37","0:01:34"
"YouTube","11/30/19","02:38:40","0:00:57"
"Boost","11/30/19","02:38:39","0:00:01"
"Notification posted (Système Android)","11/30/19","02:38:39","0:00:00"
"Screen on (unlocked)","11/30/19","02:38:39","0:00:01"
"Notification posted (Système Android)","11/30/19","02:38:39","0:00:00"
"Screen on (locked)","11/30/19","02:38:22","0:00:16"
"Screen off","11/30/19","02:37:08","0:01:15"
"Boost","11/30/19","02:37:00","0:00:07"
"Boost","11/30/19","02:36:59","0:00:01"
"Chrome","11/30/19","02:36:38","0:00:21"
"Notification posted (Chrome)","11/30/19","02:36:38","0:00:00"
"Boost","11/30/19","02:29:55","0:06:40"
"Notification posted (Messenger)","11/30/19","02:27:01","0:00:00"
"Notification posted (Messenger)","11/30/19","02:27:01","0:00:00"
"YouTube","11/30/19","02:27:01","0:02:53"
"Screen on (unlocked)","11/30/19","02:26:57","0:00:00"
"Notification posted (Système Android)","11/30/19","02:26:57","0:00:00"
"Screen on (locked)","11/30/19","02:26:55","0:00:01"
"Screen off","11/30/19","02:23:56","0:02:59"
"Notification posted (BlackPlayer)","11/30/19","02:23:51","0:00:00"
"Screen on (unlocked)","11/30/19","02:23:49","0:00:01"
"Notification posted (Système Android)","11/30/19","02:23:49","0:00:00"
"Screen on (locked)","11/30/19","02:23:47","0:00:01"
"Screen off (locked)","11/30/19","02:13:43","0:10:04"
"Screen on (locked)","11/30/19","02:13:42","0:00:01"
"Screen off","11/30/19","02:06:52","0:06:51"
"Boost","11/30/19","02:06:45","0:00:07"
"Notification posted (Système Android)","11/30/19","02:06:45","0:00:00"
"Screen on (unlocked)","11/30/19","02:06:44","0:00:00"
"Screen on (locked)","11/30/19","02:06:43","0:00:01"
"Screen off","11/30/19","01:59:11","0:07:32"
"Boost","11/30/19","01:57:24","0:01:47"
"Chrome","11/30/19","01:56:32","0:00:52"
"Notification posted (Messenger)","11/30/19","01:56:29","0:00:00"
"Notification posted (Messenger)","11/30/19","01:56:29","0:00:00"
"Notification posted (Messenger)","11/30/19","01:53:20","0:00:00"
"Boost","11/30/19","01:52:49","0:03:43"
"Boost","11/30/19","01:51:26","0:01:21"
"Screen on (unlocked)","11/30/19","01:51:26","0:00:00"
"Notification posted (Système Android)","11/30/19","01:51:26","0:00:00"
"Notification posted (Système Android)","11/30/19","01:51:26","0:00:00"
"Screen on (locked)","11/30/19","01:51:21","0:00:05"
"Screen off","11/30/19","01:48:59","0:02:22"
"Notification posted (Messenger)","11/30/19","01:46:55","0:00:00"
"Boost","11/30/19","01:46:42","0:02:17"
"Screen on (unlocked)","11/30/19","01:46:41","0:00:01"
"Screen off","11/30/19","01:46:15","0:00:26"
"Boost","11/30/19","01:46:08","0:00:07"
"Screen on (unlocked)","11/30/19","01:46:07","0:00:01"
"Screen off","11/30/19","01:46:02","0:00:05"
"Notification posted (Messenger)","11/30/19","01:45:58","0:00:00"
"Notification posted (Messenger)","11/30/19","01:45:51","0:00:00"
"Boost","11/30/19","01:44:25","0:01:37"
"Screen on (unlocked)","11/30/19","01:44:25","0:00:00"
"Notification posted (Système Android)","11/30/19","01:44:25","0:00:00"
"Notification posted (Système Android)","11/30/19","01:44:25","0:00:00"
"Screen on (locked)","11/30/19","01:44:23","0:00:02"
"Screen off (locked)","11/30/19","01:44:14","0:00:09"
"Screen on (locked)","11/30/19","01:44:12","0:00:02"
"Notification posted (Messenger)","11/30/19","01:41:10","0:00:00"
"Screen off","11/30/19","01:40:50","0:03:22"
"Notification posted (Messenger)","11/30/19","01:39:28","0:00:00"
"Notification posted (Messenger)","11/30/19","01:39:07","0:00:00"
"Notification posted (Messenger)","11/30/19","01:37:38","0:00:00"
"Notification posted (Messenger)","11/30/19","01:36:58","0:00:00"
"Notification posted (Messenger)","11/30/19","01:36:24","0:00:00"
"Boost","11/30/19","01:35:59","0:04:52"
"Screen on (unlocked)","11/30/19","01:35:58","0:00:01"
"Notification posted (Messenger)","11/30/19","01:35:52","0:00:00"
"Screen off","11/30/19","01:35:42","0:00:16"
"Notification posted (Messenger)","11/30/19","01:33:51","0:00:00"
"Notification posted (Messenger)","11/30/19","01:33:39","0:00:00"
"Boost","11/30/19","01:32:53","0:02:49"
"Notification posted (Messenger)","11/30/19","01:31:25","0:00:00"
"Notification posted (Messenger)","11/30/19","01:31:16","0:00:00"
"Notification posted (Messenger)","11/30/19","01:31:10","0:00:00"
"Notification posted (Messenger)","11/30/19","01:30:49","0:00:00"
"Notification posted (Messenger)","11/30/19","01:30:21","0:00:00"
"Discord","11/30/19","01:29:04","0:03:46"
"Notification posted (Système Android)","11/30/19","01:29:03","0:00:00"
"Notification posted (Système Android)","11/30/19","01:29:03","0:00:00"
"Programme d'installation du kit","11/30/19","01:29:02","0:00:01"
"Discord","11/30/19","01:28:33","0:00:30"
"Screen on (unlocked)","11/30/19","01:28:32","0:00:01"
"Notification posted (Système Android)","11/30/19","01:28:32","0:00:00"
"Notification posted (Système Android)","11/30/19","01:28:32","0:00:00"
"Screen on (locked)","11/30/19","01:28:31","0:00:01"
"Screen off","11/30/19","01:27:53","0:00:39"
"Discord","11/30/19","01:27:49","0:00:04"
"Vélo'v officiel","11/30/19","01:27:47","0:00:02"
"Screen on (unlocked)","11/30/19","01:27:47","0:00:00"
"Notification posted (Système Android)","11/30/19","01:27:47","0:00:00"
"Notification posted (Système Android)","11/30/19","01:27:47","0:00:00"
"Screen on (locked)","11/30/19","01:27:46","0:00:01"
"Notification posted (Messenger)","11/30/19","01:26:23","0:00:00"
"Notification posted (Discord)","11/30/19","01:21:34","0:00:00"
"Notification posted (Google)","11/30/19","01:20:07","0:00:00"
"Notification posted (Vélo'v officiel)","11/30/19","01:18:18","0:00:00"
"Screen off","11/30/19","01:18:16","0:09:30"
"Notification posted (Système Android)","11/30/19","01:17:57","0:00:00"
"Notification posted (Vélo'v officiel)","11/30/19","01:17:36","0:00:00"
"Vélo'v officiel","11/30/19","01:17:29","0:00:47"
"Screen on (unlocked)","11/30/19","01:17:28","0:00:00"
"Notification posted (Système Android)","11/30/19","01:17:28","0:00:00"
"Notification posted (Système Android)","11/30/19","01:17:28","0:00:00"
"Screen on (locked)","11/30/19","01:17:26","0:00:02"
"Screen off","11/30/19","01:16:15","0:01:12"
"Notification posted (Système Android)","11/30/19","01:15:23","0:00:00"
"Vélo'v officiel","11/30/19","01:14:33","0:01:42"
"Screen on (unlocked)","11/30/19","01:14:32","0:00:01"
"Screen off","11/30/19","01:14:31","0:00:01"
"Vélo'v officiel","11/30/19","01:14:19","0:00:12"
"Notification posted (Système Android)","11/30/19","01:14:16","0:00:00"
"Notification posted (Système Android)","11/30/19","01:14:16","0:00:00"
"Screen on (unlocked)","11/30/19","01:14:16","0:00:00"
"Screen on (locked)","11/30/19","01:14:13","0:00:03"
"Screen off (locked)","11/30/19","01:13:09","0:01:04"
"Screen on (locked)","11/30/19","01:13:08","0:00:01"
"Screen off (locked)","11/30/19","01:09:33","0:03:35"
"Notification posted (Système Android)","11/30/19","01:09:30","0:00:00"
"Caméra","11/30/19","01:09:30","0:00:03"
"Screen on (locked)","11/30/19","01:09:29","0:00:01"
"Notification posted (Maps)","11/30/19","01:02:52","0:00:00"
"Screen off (locked)","11/30/19","00:57:09","0:12:20"
"Screen on (locked)","11/30/19","00:56:40","0:00:29"
"Screen off (locked)","11/30/19","00:56:34","0:00:05"
"Screen on (locked)","11/30/19","00:56:31","0:00:03"
"Notification posted (Messenger)","11/30/19","00:56:16","0:00:00"
"Notification posted (Vélo'v officiel)","11/30/19","00:53:45","0:00:00"
"Screen off","11/30/19","00:53:06","0:03:25"
"Notification posted (Système Android)","11/30/19","00:52:43","0:00:00"
"Vélo'v officiel","11/30/19","00:52:42","0:00:24"
"Screen on (unlocked)","11/30/19","00:52:41","0:00:01"
"Screen off","11/30/19","00:52:27","0:00:15"
"Vélo'v officiel","11/30/19","00:52:22","0:00:05"
"YouTube","11/30/19","00:52:17","0:00:01"
"Screen on (unlocked)","11/30/19","00:52:17","0:00:00"
"Notification posted (Système Android)","11/30/19","00:52:17","0:00:00"
"Notification posted (Système Android)","11/30/19","00:52:17","0:00:00"
"Screen on (locked)","11/30/19","00:52:17","0:00:01"
"Screen off","11/30/19","00:50:59","0:01:17"
"YouTube","11/30/19","00:50:59","0:00:01"
"Messenger","11/30/19","00:50:49","0:00:09"
"Messenger","11/30/19","00:50:44","0:00:05"
"Screen on (unlocked)","11/30/19","00:50:39","0:00:00"
"Notification posted (Système Android)","11/30/19","00:50:39","0:00:00"
"Notification posted (Système Android)","11/30/19","00:50:39","0:00:00"
"Screen on (locked)","11/30/19","00:50:38","0:00:01"
"Notification posted (YouTube)","11/30/19","00:49:47","0:00:00"
"Notification posted (Messenger)","11/30/19","00:47:14","0:00:00"
"Screen off","11/30/19","00:41:35","0:09:03"
"Screen on (unlocked)","11/30/19","00:41:34","0:00:01"
"Screen off","11/30/19","00:41:33","0:00:01"
"YouTube","11/30/19","00:41:30","0:00:03"
"Screen on (unlocked)","11/30/19","00:41:29","0:00:00"
"Notification posted (Système Android)","11/30/19","00:41:29","0:00:00"
"Notification posted (Système Android)","11/30/19","00:41:29","0:00:00"
"Screen on (locked)","11/30/19","00:41:29","0:00:00"
"Screen off","11/30/19","00:15:37","0:25:52"
"YouTube","11/30/19","00:03:39","0:11:58"
"Screen on (unlocked)","11/30/19","00:03:39","0:00:01"
"Notification posted (Système Android)","11/30/19","00:03:39","0:00:00"
"Notification posted (Système Android)","11/30/19","00:03:39","0:00:00"
"Screen on (locked)","11/30/19","00:03:38","0:00:01"
"Screen off","11/29/19","23:48:49","0:14:49"
"YouTube","11/29/19","23:48:48","0:00:01"
"Screen on (unlocked)","11/29/19","23:48:46","0:00:01"
"Notification posted (Système Android)","11/29/19","23:48:46","0:00:00"
"Notification posted (Système Android)","11/29/19","23:48:46","0:00:00"
"Screen on (locked)","11/29/19","23:48:46","0:00:01"
"Screen off (locked)","11/29/19","23:17:57","0:30:48"
"Screen on (locked)","11/29/19","23:17:55","0:00:02"
"Screen off (locked)","11/29/19","23:08:06","0:09:50"
"Screen on (locked)","11/29/19","23:07:46","0:00:20"
"Screen off (locked)","11/29/19","23:06:21","0:01:25"
"Screen on (locked)","11/29/19","23:06:20","0:00:01"
"Screen off","11/29/19","22:54:16","0:12:04"
"Maps","11/29/19","22:54:04","0:00:01"
"Notification posted (Système Android)","11/29/19","22:54:04","0:00:00"
"Screen on (unlocked)","11/29/19","22:54:03","0:00:01"
"Screen off","11/29/19","22:53:38","0:00:25"
"Notification posted (Messenger)","11/29/19","22:53:12","0:00:00"
"Messenger","11/29/19","22:53:12","0:00:26"
"Notification posted (Système Android)","11/29/19","22:53:10","0:00:00"
"Maps","11/29/19","22:53:10","0:00:02"
"Screen on (unlocked)","11/29/19","22:53:10","0:00:00"
"Notification posted (Système Android)","11/29/19","22:53:10","0:00:00"
"Screen on (locked)","11/29/19","22:53:09","0:00:01"
"Screen off","11/29/19","22:52:19","0:00:50"
"Notification posted (Système Android)","11/29/19","22:52:10","0:00:00"
"Maps","11/29/19","22:52:10","0:00:09"
"Screen on (unlocked)","11/29/19","22:52:10","0:00:00"
"Notification posted (Système Android)","11/29/19","22:52:10","0:00:00"
"Screen on (locked)","11/29/19","22:52:09","0:00:01"
"Screen off","11/29/19","22:51:30","0:00:39"
"Maps","11/29/19","22:51:13","0:00:17"
"L'interface","11/29/19","22:51:12","0:00:01"
"Vélo'v officiel","11/29/19","22:51:05","0:00:06"
"Screen on (unlocked)","11/29/19","22:51:05","0:00:00"
"Notification posted (Système Android)","11/29/19","22:51:05","0:00:00"
"Screen on (locked)","11/29/19","22:51:02","0:00:03"
"Notification posted (Vélo'v officiel)","11/29/19","22:50:50","0:00:00"
"Screen off","11/29/19","22:50:09","0:00:54"
"Vélo'v officiel","11/29/19","22:50:00","0:00:08"
"L'interface","11/29/19","22:49:57","0:00:01"
"Screen on (unlocked)","11/29/19","22:49:57","0:00:01"
"Notification posted (Système Android)","11/29/19","22:49:57","0:00:00"
"Maps","11/29/19","22:47:06","0:02:51"
"Screen on (locked)","11/29/19","22:47:06","0:00:01"
"Screen off (locked)","11/29/19","22:47:03","0:00:03"
"Maps","11/29/19","22:47:02","0:00:00"
"Screen on (locked)","11/29/19","22:47:01","0:00:01"
"Screen off","11/29/19","22:46:14","0:00:47"
"Maps","11/29/19","22:45:44","0:00:30"
"L'interface","11/29/19","22:45:43","0:00:01"
"Discord","11/29/19","22:45:41","0:00:01"
"L'interface","11/29/19","22:45:39","0:00:02"
"Notification posted (Système Android)","11/29/19","22:45:36","0:00:00"
"L'interface","11/29/19","22:44:26","0:00:04"
"Maps","11/29/19","22:44:08","0:00:17"
"Screen on (unlocked)","11/29/19","22:44:07","0:00:01"
"Screen off","11/29/19","22:44:05","0:00:02"
"Maps","11/29/19","22:43:44","0:00:21"
"L'interface","11/29/19","22:43:42","0:00:01"
"Discord","11/29/19","22:43:42","0:00:01"
"Vélo'v officiel","11/29/19","22:43:39","0:00:02"
"L'interface","11/29/19","22:43:36","0:00:03"
"Vélo'v officiel","11/29/19","22:43:35","0:00:01"
"Maps","11/29/19","22:43:34","0:00:01"
"Vélo'v officiel","11/29/19","22:43:29","0:00:05"
"Screen on (unlocked)","11/29/19","22:43:28","0:00:00"
"Notification posted (Système Android)","11/29/19","22:43:28","0:00:00"
"Screen on (locked)","11/29/19","22:43:23","0:00:05"
"Screen off","11/29/19","22:33:27","0:09:56"
"Maps","11/29/19","22:33:25","0:00:02"
"L'interface","11/29/19","22:33:24","0:00:01"
"Vélo'v officiel","11/29/19","22:33:23","0:00:01"
"Screen on (unlocked)","11/29/19","22:33:23","0:00:01"
"Screen off","11/29/19","22:33:21","0:00:02"
"Vélo'v officiel","11/29/19","22:33:09","0:00:12"
"Screen on (unlocked)","11/29/19","22:33:09","0:00:00"
"Notification posted (Système Android)","11/29/19","22:33:09","0:00:00"
"Screen on (locked)","11/29/19","22:33:05","0:00:04"
"Notification posted (Vélo'v officiel)","11/29/19","22:32:52","0:00:00"
"Screen off","11/29/19","22:32:06","0:01:00"
"Vélo'v officiel","11/29/19","22:32:02","0:00:04"
"Screen on (unlocked)","11/29/19","22:32:01","0:00:01"
"Screen off","11/29/19","22:31:56","0:00:06"
"Vélo'v officiel","11/29/19","22:31:44","0:00:12"
"Screen on (unlocked)","11/29/19","22:31:43","0:00:01"
"Screen off","11/29/19","22:31:37","0:00:05"
"Vélo'v officiel","11/29/19","22:31:21","0:00:16"
"Screen on (unlocked)","11/29/19","22:31:20","0:00:01"
"Screen off","11/29/19","22:30:52","0:00:29"
"Vélo'v officiel","11/29/19","22:30:51","0:00:01"
"Screen on (unlocked)","11/29/19","22:30:50","0:00:01"
"Screen off","11/29/19","22:30:49","0:00:01"
"Vélo'v officiel","11/29/19","22:30:38","0:00:10"
"L'interface","11/29/19","22:30:38","0:00:01"
"Discord","11/29/19","22:30:37","0:00:01"
"Maps","11/29/19","22:30:30","0:00:07"
"Discord","11/29/19","22:30:29","0:00:01"
"L'interface","11/29/19","22:30:28","0:00:01"
"Discord","11/29/19","22:30:27","0:00:01"
"Vélo'v officiel","11/29/19","22:30:26","0:00:01"
"Vélo'v officiel","11/29/19","22:30:21","0:00:04"
"L'interface","11/29/19","22:30:18","0:00:03"
"Maps","11/29/19","22:30:14","0:00:04"
"Screen on (unlocked)","11/29/19","22:25:05","0:00:01"
"Screen off","11/29/19","22:25:04","0:00:01"
"Maps","11/29/19","22:24:42","0:00:22"
"Screen on (unlocked)","11/29/19","22:24:41","0:00:01"
"Screen off","11/29/19","22:24:41","0:00:01"
"Maps","11/29/19","22:22:36","0:02:04"
"Screen on (unlocked)","11/29/19","22:22:35","0:00:01"
"Screen off","11/29/19","22:22:30","0:00:06"
"Maps","11/29/19","22:22:21","0:00:09"
"L'interface","11/29/19","22:22:19","0:00:01"
"Notification posted (Messenger)","11/29/19","22:21:41","0:00:00"
"Messenger","11/29/19","22:20:59","0:01:19"
"L'interface","11/29/19","22:20:56","0:00:04"
"Messenger","11/29/19","22:20:55","0:00:01"
"Notification posted (Messenger)","11/29/19","22:20:54","0:00:00"
"Maps","11/29/19","22:20:43","0:00:11"
"Screen on (unlocked)","11/29/19","22:20:43","0:00:01"
"Screen off","11/29/19","22:20:42","0:00:01"
"Maps","11/29/19","22:18:15","0:02:27"
"Screen on (unlocked)","11/29/19","22:18:15","0:00:01"
"Screen off","11/29/19","22:18:09","0:00:05"
"Maps","11/29/19","22:17:43","0:00:27"
"Screen on (unlocked)","11/29/19","22:17:42","0:00:01"
"Screen off","11/29/19","22:17:35","0:00:07"
"Notification posted (Maps)","11/29/19","22:17:07","0:00:00"
"Notification posted (Système Android)","11/29/19","22:16:54","0:00:00"
"Maps","11/29/19","22:16:53","0:00:41"
"Vélo'v officiel","11/29/19","22:16:45","0:00:03"
"Screen on (unlocked)","11/29/19","22:16:45","0:00:01"
"Notification posted (Système Android)","11/29/19","22:16:45","0:00:00"
"Screen on (locked)","11/29/19","22:16:39","0:00:05"
"Notification posted (Messenger)","11/29/19","22:11:52","0:00:00"
"Notification posted (Vélo'v officiel)","11/29/19","22:11:38","0:00:00"
"Screen off","11/29/19","22:11:29","0:05:10"
"Notification posted (Système Android)","11/29/19","22:11:12","0:00:00"
"Vélo'v officiel","11/29/19","22:11:03","0:00:26"
"Notification posted (Système Android)","11/29/19","22:10:54","0:00:00"
"Screen on (unlocked)","11/29/19","22:10:54","0:00:00"
"Screen on (locked)","11/29/19","22:10:52","0:00:02"
"Notification posted (Système Android)","11/29/19","22:08:55","0:00:00"
"Screen off","11/29/19","22:08:45","0:02:07"
"Messenger","11/29/19","22:07:36","0:01:08"
"Notification posted (Messenger)","11/29/19","22:07:33","0:00:00"
"Notification posted (Messenger)","11/29/19","22:07:33","0:00:00"
"Notification posted (Système Android)","11/29/19","22:06:59","0:00:00"
"Maps","11/29/19","22:06:56","0:00:35"
"Discord","11/29/19","22:06:47","0:00:01"
"Vélo'v officiel","11/29/19","22:06:41","0:00:04"
"Chrome","11/29/19","22:06:37","0:00:01"
"Screen on (unlocked)","11/29/19","22:06:36","0:00:01"
"Screen off","11/29/19","22:06:26","0:00:10"
"Notification posted (Chrome)","11/29/19","22:06:15","0:00:00"
"Chrome","11/29/19","22:06:15","0:00:11"
"Slack","11/29/19","22:06:12","0:00:01"
"YouTube","11/29/19","22:06:11","0:00:01"
"Screen on (unlocked)","11/29/19","22:06:10","0:00:01"
"Screen off","11/29/19","22:05:56","0:00:14"
"YouTube","11/29/19","22:05:55","0:00:01"
"Messenger","11/29/19","22:05:51","0:00:04"
"YouTube","11/29/19","22:05:22","0:00:29"
"Screen on (unlocked)","11/29/19","22:05:21","0:00:01"
"Notification posted (Système Android)","11/29/19","22:05:21","0:00:00"
"Screen off","11/29/19","22:05:21","0:00:00"
"Screen off (locked)","11/29/19","22:05:11","0:00:10"
"Screen on (locked)","11/29/19","22:05:10","0:00:01"
"Screen off (locked)","11/29/19","22:04:42","0:00:28"
"Screen on (unlocked)","11/29/19","22:04:40","0:00:02"
"Screen off","11/29/19","22:04:29","0:00:12"
"YouTube","11/29/19","22:03:53","0:00:36"
"Screen on (unlocked)","11/29/19","22:03:52","0:00:01"
"Notification posted (Système Android)","11/29/19","22:03:52","0:00:00"
"Messenger","11/29/19","22:03:52","0:00:00"
"Screen on (locked)","11/29/19","22:03:51","0:00:02"
"Screen off","11/29/19","22:02:47","0:01:04"
"Notification posted (Messenger)","11/29/19","21:58:52","0:00:00"
"Notification posted (Messenger)","11/29/19","21:57:35","0:00:00"
"YouTube","11/29/19","21:56:21","0:06:26"
"Slack","11/29/19","21:55:46","0:00:32"
"YouTube","11/29/19","21:55:40","0:00:07"
"Boost","11/29/19","21:55:39","0:00:01"
"Notification posted (Système Android)","11/29/19","21:55:39","0:00:00"
"Screen on (unlocked)","11/29/19","21:55:39","0:00:00"
"Screen on (locked)","11/29/19","21:55:38","0:00:01"
"Notification posted (Slack)","11/29/19","21:55:09","0:00:00"
"Notification posted (Slack)","11/29/19","21:54:34","0:00:00"
"Notification posted (Messenger)","11/29/19","21:54:27","0:00:00"
"Screen off","11/29/19","21:54:12","0:01:25"
"Boost","11/29/19","21:53:33","0:00:39"
"YouTube","11/29/19","21:53:31","0:00:02"
"Notification posted (Messenger)","11/29/19","21:52:21","0:00:00"
"Boost","11/29/19","21:50:34","0:02:57"
"YouTube","11/29/19","21:50:26","0:00:07"
"Boost","11/29/19","21:50:18","0:00:08"
"Instagram","11/29/19","21:49:23","0:00:53"
"Maps","11/29/19","21:49:19","0:00:01"
"YouTube","11/29/19","21:49:19","0:00:01"
"Maps","11/29/19","21:49:07","0:00:12"
"YouTube","11/29/19","21:49:06","0:00:01"
"Notification posted (Système Android)","11/29/19","21:48:25","0:00:00"
"Maps","11/29/19","21:48:22","0:00:45"
"Chrome","11/29/19","21:48:12","0:00:09"
"Gmail","11/29/19","21:48:06","0:00:06"
"YouTube","11/29/19","21:48:05","0:00:01"
"Gmail","11/29/19","21:48:03","0:00:01"
"Notification posted (Messenger)","11/29/19","21:43:56","0:00:00"
"Slack","11/29/19","21:43:52","0:04:11"
"YouTube","11/29/19","21:43:49","0:00:03"
"Notification posted (Messenger)","11/29/19","21:43:47","0:00:00"
"YouTube","11/29/19","21:42:22","0:01:25"
"Messenger","11/29/19","21:41:56","0:00:23"
"Notification posted (Messenger)","11/29/19","21:41:54","0:00:00"
